地段位置或門牌,總價(萬元),總面積(坪),型態,屋齡,樓別/樓高,車位數,房間數,廳數,衛浴數,管理組織,電梯,公園,火車站,美術館,音樂廳,國民運動中心,捷運,博物館,醫院,圖書館,賣場,國小,國中,轉運站,工業區,污水處理廠,垃圾場,發電廠,墓地,殯儀館,機場,高速/快速公路,高鐵,
高雄市鼓山區文信路２１８之１號七樓之２,880,38.09,住宅大樓(11層含以上有電梯),25,2,0,3,2,2,1,1,0.583871942,1.302135429,1.702589958,3.646673,5.307468575,0.2604,1.71113,0.2731,1.470894524,0.449478,1.129970364,0.3178,5.0732,5.606171696,7.620428507,10.30605896,7.0239,4.671024981,3.253538066,11.1559221,1.970391,2.715774,
高雄市楠梓區土庫二路１９０號十一樓之１,560,24.22,住宅大樓(11層含以上有電梯),7,3,0,2,2,1,1,1,1.250011192,1.414221564,10.0700684,12.34254,12.29320915,0.9794,2.25119,1.8096,0.925231486,0.17785,1.119887676,0.5248,1.7572,2.067641788,4.304286654,6.842888955,15.562,1.269810426,3.623938855,18.51284313,2.169322,6.015331,
高雄市楠梓區壽豐路４３２號五樓之２,665,28.75,華廈(10層含以下有電梯),29,1,1,2,2,2,1,1,0.615773644,2.881833092,7.58572092,10.03503,11.38236711,1.3786,3.577397,1.0633,0.631663368,0.598744,0.840728218,0.5928,3.5384,4.53115742,3.286156642,10.22164933,13.748,1.420944116,3.706775372,17.58544861,3.748335,4.336655,
高雄市鼓山區文忠路１６１號十樓之８,236,10.2,華廈(10層含以下有電梯),26,2,0,1,1,1,1,1,0.621466902,0.94829619,1.347994686,3.492446,5.655096023,0.6862,1.461982,0.7398,1.240600237,0.418976,1.137310615,0.6295,5.3938,5.913093116,7.371666988,10.70560801,7.0776,4.90622613,3.719634172,11.39581513,2.002426,2.86484,
高雄市仁武區霞海路２８７號十四樓,952,41.13,住宅大樓(11層含以上有電梯),1,3,1,2,2,1,1,1,0.352285742,1.798084965,4.810955238,6.588399,6.387278603,1.5096,3.462083,0.923,1.940347882,0.208338,0.027338069,0.9932,4.3467,2.291105044,7.461943543,10.31788338,9.6392,1.627396203,2.958719589,12.64036005,1.291351,1.525193,
高雄市楠梓區大學五十街７０號十四樓,880,38.01,住宅大樓(11層含以上有電梯),5,3,1,3,2,2,1,1,1.383963143,3.464910012,8.571458294,11.0502,12.54910468,2.4289,3.415755,2.2254,1.407364683,0.622277,0.717402888,1.006,4.1843,5.101648137,3.024037484,9.990794729,14.836,0.270935112,2.712204905,18.74632801,4.473903,5.498973,
高雄市鳳山區經武路８５之１８號四樓,330,14.25,公寓(5樓含以下無電梯),40,1,0,2,1,1,0,0,0.312214801,0.611309099,5.079465162,2.070689,0.77545412,0.3773,4.293087,0.4292,0.451809371,0.309536,0.388300259,1.067,3.1931,3.292786425,3.927172021,2.884146523,6.8707,1.886915712,4.6918489,6.16439702,2.663954,8.567459,
高雄市左營區富國路３４７號８樓之１,560,24.16,華廈(10層含以下有電梯),27,2,1,2,1,1,1,1,1.134519779,1.583909813,2.355254388,4.141388,5.067048754,0.4275,2.011886,0.4399,0.898937149,0.262024,0.858592663,0.7711,4.8905,5.033603201,7.784137327,9.926972531,7.2478,4.186310037,2.673144116,11.08263118,1.561917,2.387961,
高雄市左營區大中二路２６２號三樓,685,29.54,住宅大樓(11層含以上有電梯),15,1,1,2,1,1,1,1,0.944603096,1.055554381,3.704713931,5.720208,6.125537218,0.7065,2.190081,1.0383,0.619821197,0.491554,0.541545865,0.2519,5.2618,3.558763526,6.97038142,10.56389587,8.8097,2.589708726,2.995306609,12.32033022,0.126444,0.930894,
高雄市楠梓區德民路８２０巷１６號十樓,636,27.42,住宅大樓(11層含以上有電梯),11,2,1,2,1,1,1,1,0.373832662,3.365811698,7.226832236,9.69887,11.28087646,1.6929,3.220668,0.9471,0.761836815,0.134338,1.14831473,0.7248,3.9961,5.000480493,2.839832276,10.75864662,13.48,1.628155017,4.040451625,17.45003316,4.176396,4.226299,
高雄市鳳山區新強路３３１巷１５號二樓,788,33.95,住宅大樓(11層含以上有電梯),24,3,0,3,2,2,1,1,0.642770476,2.271337884,3.990455672,1.625216,1.702391331,1.3053,3.197219,1.4567,1.437106048,0.350587,0.72794101,0.4935,1.7427,0.468555123,2.770508712,4.537163297,4.0039,4.240257618,5.160073481,4.554954108,1.926699,8.715857,
高雄市仁武區高楠八街１４７號二樓,420,18.08,公寓(5樓含以下無電梯),41,1,0,3,2,1,0,0,0.494551027,1.976563162,5.45948448,7.206602,6.983358715,1.7047,3.706757,1.5717,2.409771646,0.466992,0.674883555,0.9008,3.6993,1.740978789,7.248132685,10.75571581,10.288,0.992339148,2.840938611,13.23232653,1.821711,1.70358,
高雄市左營區大中二路８１６號十二樓,850,36.59,住宅大樓(11層含以上有電梯),6,3,1,2,2,1,1,1,1.883755577,0.333207952,3.719989143,5.983013,7.146742591,0.5941,1.611314,1.9358,0.998729817,0.694841,0.671809796,0.8412,5.0577,3.945095965,5.832431737,11.69757749,9.4391,2.688442751,4.132398895,13.27471754,0.499078,0.595356,
